DATE,Sample ID,Result Parameter Name,Result Value,Result Value Units,Sample Matrix,Measured,Result (ug/L),No_Detect
2023-08-08 00:00:00,HPS-1,"Indeno(1,2,3-cd)pyrene",0.124,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Naphthalene,0.114,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Phenanthrene,0.293,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Pyrene,0.96,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,2-Fluorobiphenyl (S) %,,mg/kg,Soil,,,0
2023-08-08 00:00:00,HPS-1,Terphenyl-d14 (S) %,,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,1-Methylnaphthalene,0.0029,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,1-Methylnaphthalene,0.0059,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,1-Methylnaphthalene,0.0038,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,1-Methylnaphthalene,0.0028,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,1-Methylnaphthalene,0.0033,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,2-Methylnaphthalene,0.0029,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,2-Methylnaphthalene,0.0048,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,2-Methylnaphthalene,0.0038,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,2-Methylnaphthalene,0.0028,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,2-Methylnaphthalene,0.0033,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Acenaphthene,0.0026,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Acenaphthene,0.0044,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Acenaphthene,0.0034,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Acenaphthene,0.0025,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Acenaphthene,0.015,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Acenaphthylene,0.0066,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Acenaphthylene,0.0042,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Acenaphthylene,0.0033,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Acenaphthylene,0.0024,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Acenaphthylene,0.0029,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Anthracene,0.0074,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Anthracene,0.0041,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Anthracene,0.0032,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Anthracene,0.0023,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Anthracene,0.0227,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Benzo(a)anthracene,0.0237,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Benzo(a)anthracene,0.0043,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Benzo(a)anthracene,0.0034,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Benzo(a)anthracene,0.0024,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Benzo(a)anthracene,0.077,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Benzo(a)pyrene,0.0423,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Benzo(a)pyrene,0.0037,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Benzo(a)pyrene,0.003,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Benzo(a)pyrene,0.0022,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Benzo(a)pyrene,0.0788,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Benzo(b)fluoranthene,0.0763,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Benzo(b)fluoranthene,0.0046,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Benzo(b)fluoranthene,0.0036,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Benzo(b)fluoranthene,0.0026,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Benzo(b)fluoranthene,0.108,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,"Benzo(g,h,i)perylene",0.0446,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,"Benzo(g,h,i)perylene",0.0058,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,"Benzo(g,h,i)perylene",0.0046,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,"Benzo(g,h,i)perylene",0.0033,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,"Benzo(g,h,i)perylene",0.0665,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Benzo(k)fluoranthene,0.022,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Benzo(k)fluoranthene,0.0042,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Benzo(k)fluoranthene,0.0033,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Benzo(k)fluoranthene,0.0024,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Benzo(k)fluoranthene,0.0573,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Chrysene,0.0378,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Chrysene,0.0062,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Chrysene,0.0049,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Chrysene,0.0036,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Chrysene,0.0951,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,"Dibenz(a,h)anthracene",0.0106,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,"Dibenz(a,h)anthracene",0.0046,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,"Dibenz(a,h)anthracene",0.0036,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,"Dibenz(a,h)anthracene",0.0026,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,"Dibenz(a,h)anthracene",0.0174,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-4,Fluoranthene,0.0517,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5A,Fluoranthene,0.0048,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5B,Fluoranthene,0.0031,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-5C,Fluoranthene,0.0022,mg/kg,Soil,,,0
2023-06-19 00:00:00,DWS-6,Fluoranthene,0.213,mg/kg,Soil,,,0
